127.0.0.1 - - [18/Apr/2024:09:20:52 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:20:53 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:20:53 +0900] "GET /web/images/movie_image1.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:20:53 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:22:48 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:22:48 +0900] "GET /web/images/movie_image_1.jpg HTTP/1.1" 200 69831
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:23:43 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 500 3217
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_2.jpg HTTP/1.1" 200 78432
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_4.jpg HTTP/1.1" 200 64957
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_3.jpg HTTP/1.1" 200 91478
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_6.jpg HTTP/1.1" 200 97742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_5.jpg HTTP/1.1" 200 128014
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_9.jpg HTTP/1.1" 200 104224
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_7.jpg HTTP/1.1" 200 77051
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:25:14 +0900] "GET /web/images/movie_image_8.jpg HTTP/1.1" 200 87465
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:27:00 +0900] "GET /web/images/movie_image_9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/images/movie_image_7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:53 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:54 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:54 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:54 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:55 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:55 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:55 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:56 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:56 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:28:57 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:00 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:00 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:01 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:01 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:01 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:02 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:02 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:02 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:02 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:03 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:03 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:03 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:03 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:04 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:29:05 +0900] "GET /web/day2/movie.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:33:34 +0900] "GET /web/day2/gugudan.jsp HTTP/1.1" 200 419
